érkezés | eljövetel | letartóztatás | finanszírozás | stabilitás
évkönyv | krónikák | otthonok | nyomok | dalok
vezetés | hatalom | megfigyelés | szerelem | tudatosság
vita | veszekedés | háború | választás | verseny
eltérések | különbségek | súlyok | betétek | hullámhosszak
mód | módszer | fejadag | öl | őrület
színárnyalat | szín | ragyogás | kontraszt | illat
témák | tárgyak | képzés | fizetések | előnyök
százalék | arány | térfogat | minta | profit
elrendezett | megtervezett | megmagyarázott | tanult | eldobott
épített | konstruált | előterjesztett | finanszírozott | szervezett
kiagyalt | kieszelt | kitisztított | kért | felügyelt
elfogyasztott | megevett | nevelt | elfogott | ellátott
szertefoszlik | eloszlik | elszigetel | álcáz | lefényképez
forgalmaz | terjeszt | elüzletiesít | kutat | elismer
kiszámol | megold | felsorol | feloszt | kifejez
ad | szállít | lenyűgöz | megvéd | tanácsol
vigyorog | mosolyog | edz | pihen | viccel
üdvözölt | köszöntött | ítélt | emlékezett | címzett
nagyobb | tekintélyesebb | állandóbb | közelebbi | jobb
fesztelen | közvetlen | megörökített | félreértett | helytelen
költséges | drága | szép | népszerű | bonyolult
lezser | nyugodt | határmenti | unalmas | gazdasági
képzeletbeli | fantáziadús | megszokott | nyilvánvaló | logikus
megvalósítható | lehetséges | megengedett | igazságos | nyilvánvaló
hibás | tökéletlen | apró | fénylő | durva
hátulsó | hátsó | görbe | izmos | szőrös
végtelen | korlátlan | viszonylagos | szokatlan | szerkezeti
hegyes | éles | hasznos | egyszerű | híres
keskeny | vékony | tiszta | fagyos | mérgező
veszedelmes | veszélyes | kötelező | izgalmas | sértő
tömören | röviden | erőteljesen | pozitívan | szabadon
állandóan | folyamatosan | azonnal | gyorsan | véletlenül
ügyesen | szakképzetten | megfontoltan | alkalmanként | humorosan
roppantul | borzasztóan | helyénvalóan | egyedülállóan | kétségkívül
lényegében | alapvetően | talán | mohón | átlagosan
gyorsan | sebesen | gyakran | valójában | ismételten
általánosan | nagyjából | leíróan | vitatottan | pontosan
kedvetlenül | közönyösen | szokásszerűen | kétpártilag | rendhagyóan
összevissza | véletlenszerűen | veszélyesen | sűrűn | lineárisan
