érkezés | eljövetel | letartóztatás | finanszírozás | stabilitás
évkönyv | krónikák | otthonok | nyomok | dalok
vezetés | hatalom | megfigyelés | szerelem | tudatosság
vita | veszekedés | háború | választás | verseny
eltérések | különbségek | súlyok | betétek | hullámhosszak
mód | módszer | fejadag | öl | őrület
színárnyalat | szín | ragyogás | kontraszt | illat
témák | tárgyak | képzés | fizetések | előnyök
százalék | arány | térfogat | minta | profit
kitartás | tartósság | képesség | nagylelkűség | zavar
orvos | doktor | vegyész | gyógyszerész | ápolónő
feltételek | kikötések | kapcsolatok | hatáskörök | értelmezések
gyökerek | eredetek | szertartások | gyógymód | funkció
üdvözlések | köszöntések | információ | ceremóniák | kiváltságok
hely | helyszín | éghajlat | szélesség | tenger
feladatok | tennivalók | vásárlók | anyagok | boltok
nyugodtság | békesség | kíméletlenség | kimerültség | boldogság
csúcspont | tetőpont | befejezés | kezdet | hanyatlás
elrendezett | megtervezett | megmagyarázott | tanult | eldobott
épített | konstruált | előterjesztett | finanszírozott | szervezett
kiagyalt | kieszelt | kitisztított | kért | felügyelt
elfogyasztott | megevett | nevelt | elfogott | ellátott
szertefoszlik | eloszlik | elszigetel | álcáz | lefényképez
forgalmaz | terjeszt | elüzletiesít | kutat | elismer
kiszámol | megold | felsorol | feloszt | kifejez
ad | szállít | lenyűgöz | megvéd | tanácsol
vigyorog | mosolyog | edz | pihen | viccel
üdvözölt | köszöntött | ítélt | emlékezett | címzett
siettet | meggyorsít | megenged | meghatároz | elkísér
kiemel | kihangsúlyoz | módosít | utánoz | visszaállít
kiszabott | kirótt | hitt | kért | korrelált
szerez | kap | nyomtat | kereskedik | kölcsönvesz
értékesített | eladott | fagyasztott | édesített | hígított
megoldott | elintézett | közzétett | elfelejtett | megvizsgált
bemutatott | demonstrált | publikált | megismételt | elhalasztott
elhelyezett | pozícionált | forog | elszigetelt | kiürít
fenntartott | meghosszabbított | finomított | csökkentett | elemzett
befejeződött | végződött | beállított | elhalasztott | kiértékelt
nagyobb | tekintélyesebb | állandóbb | közelebbi | jobb
fesztelen | közvetlen | megörökített | félreértett | helytelen
költséges | drága | szép | népszerű | bonyolult
lezser | nyugodt | határmenti | unalmas | gazdasági
képzeletbeli | fantáziadús | megszokott | nyilvánvaló | logikus
megvalósítható | lehetséges | megengedett | igazságos | nyilvánvaló
hibás | tökéletlen | apró | fénylő | durva
hátulsó | hátsó | görbe | izmos | szőrös
végtelen | korlátlan | viszonylagos | szokatlan | szerkezeti
hegyes | éles | hasznos | egyszerű | híres
keskeny | vékony | tiszta | fagyos | mérgező
veszedelmes | veszélyes | kötelező | izgalmas | sértő
elsődleges | fő | legtöbb | számos | kivételes
termékeny | eredményes | komoly | hozzáértő | ígéretes
kiemelkedő | kitűnő | kopott | antik | rejtélyes
leendő | potenciális | bizonyos | megfontolt | kiemelkedő
elismert | elfogadott | sikeres | ábrázolt | üdvözölt
kirívó | feltűnő | tüskés | szórakoztató | véletlen
magányos | egyedüli | éber | nyugtalan | rettenthetetlen
elegendő | elég | minapi | élettani | értékes
mérsékelt | enyhe | hideg | rövid | szeles
egyforma | hasonló | kemény | összetett | éles
valószínűtlen | esélytelen | barátságtalan | különböző | népszerűtlen
páratlan | egyedülálló | ismeretlen | elidegenített | felülmúlt
tömören | röviden | erőteljesen | pozitívan | szabadon
állandóan | folyamatosan | azonnal | gyorsan | véletlenül
ügyesen | szakképzetten | megfontoltan | alkalmanként | humorosan
roppantul | borzasztóan | helyénvalóan | egyedülállóan | kétségkívül
lényegében | alapvetően | talán | mohón | átlagosan
gyorsan | sebesen | gyakran | valójában | ismételten
általánosan | nagyjából | leíróan | vitatottan | pontosan
kedvetlenül | közönyösen | szokásszerűen | kétpártilag | rendhagyóan
összevissza | véletlenszerűen | veszélyesen | sűrűn | lineárisan
sietősen | sietve | agyafúrtan | szokásszerűen | időrendben
normálisan | általában | nehézkesen | maradandóan | időszakosan
gyakran | sűrűn | feltétlenül | vegyileg | alig
különösen | páratlanul | részben | hazafiasan | gyanakodva
elsősorban | főként | alkalmanként | óvatosan | következetesen
lassan | fokozatosan | ritkán | hatékonyan | folyamatosan
sürgősen | kétségbeesetten | tipikusan | elképzelhetően | próbaképpen
verbálisan | szóban | nyíltan | megfelelően | hosszadalmasan
vadul | dühösen | jellegzetesen | rejtélyesen | hirtelen
