kitartás | tartósság | képesség | nagylelkűség | zavar
orvos | doktor | vegyész | gyógyszerész | ápolónő
feltételek | kikötések | kapcsolatok | hatáskörök | értelmezések
gyökerek | eredetek | szertartások | gyógymód | funkció
üdvözlések | köszöntések | információ | ceremóniák | kiváltságok
hely | helyszín | éghajlat | szélesség | tenger
feladatok | tennivalók | vásárlók | anyagok | boltok
nyugodtság | békesség | kíméletlenség | kimerültség | boldogság
csúcspont | tetőpont | befejezés | kezdet | hanyatlás
siettet | meggyorsít | megenged | meghatároz | elkísér
kiemel | kihangsúlyoz | módosít | utánoz | visszaállít
kiszabott | kirótt | hitt | kért | korrelált
szerez | kap | nyomtat | kereskedik | kölcsönvesz
értékesített | eladott | fagyasztott | édesített | hígított
megoldott | elintézett | közzétett | elfelejtett | megvizsgált
bemutatott | demonstrált | publikált | megismételt | elhalasztott
elhelyezett | pozícionált | forog | elszigetelt | kiürít
fenntartott | meghosszabbított | finomított | csökkentett | elemzett
befejeződött | végződött | beállított | elhalasztott | kiértékelt
elsődleges | fő | legtöbb | számos | kivételes
termékeny | eredményes | komoly | hozzáértő | ígéretes
kiemelkedő | kitűnő | kopott | antik | rejtélyes
leendő | potenciális | bizonyos | megfontolt | kiemelkedő
elismert | elfogadott | sikeres | ábrázolt | üdvözölt
kirívó | feltűnő | tüskés | szórakoztató | véletlen
magányos | egyedüli | éber | nyugtalan | rettenthetetlen
elegendő | elég | minapi | élettani | értékes
mérsékelt | enyhe | hideg | rövid | szeles
egyforma | hasonló | kemény | összetett | éles
valószínűtlen | esélytelen | barátságtalan | különböző | népszerűtlen
páratlan | egyedülálló | ismeretlen | elidegenített | felülmúlt
sietősen | sietve | agyafúrtan | szokásszerűen | időrendben
normálisan | általában | nehézkesen | maradandóan | időszakosan
gyakran | sűrűn | feltétlenül | vegyileg | alig
különösen | páratlanul | részben | hazafiasan | gyanakodva
elsősorban | főként | alkalmanként | óvatosan | következetesen
lassan | fokozatosan | ritkán | hatékonyan | folyamatosan
sürgősen | kétségbeesetten | tipikusan | elképzelhetően | próbaképpen
verbálisan | szóban | nyíltan | megfelelően | hosszadalmasan
vadul | dühösen | jellegzetesen | rejtélyesen | hirtelen
